"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/similarity/Similarity_1d_Stream_Mutated.cypher"
1,"axon-common-5.1.2","org.axonframework.common.configuration.ExtensibleConfigurer",4,2,"axon-common-5.1.2","org.axonframework.common.configuration.ExtendedConfiguration",2,2,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.LifecycleHandler",4,1,"axon-common-5.1.2","org.axonframework.common.configuration.AxonConfiguration",13,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.LifecycleHandler",4,1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentBuilder",36,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.LifecycleHandler",4,1,"axon-common-5.1.2","org.axonframework.common.configuration.ComponentLifecycleHandler",5,1,""
1,"axon-common-5.1.2","org.axonframework.common.configuration.ModuleBuilder",14,1,"axon-modelling-5.1.2","org.axonframework.modelling.configuration.EntityModule",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.infra.ComponentDescriptorException",2,1,"axon-common-5.1.2","org.axonframework.common.AxonConfigurationException",25,1,""
1,"axon-common-5.1.2","org.axonframework.common.infra.ComponentDescriptorException",2,1,"axon-test-5.1.2","org.axonframework.test.FixtureExecutionException",4,1,""
1,"axon-common-5.1.2","org.axonframework.common.infra.ComponentDescriptorException",2,1,"axon-test-5.1.2","org.axonframework.test.matchers.MatcherExecutionException",1,1,""
1,"axon-common-5.1.2","org.axonframework.common.jdbc.ConnectionProvider",2,1,"axon-update-5.1.2","org.axonframework.update.api.Artifact",3,1,""
1,"axon-common-5.1.2","org.axonframework.common.jdbc.ConnectionProvider",2,1,"axon-update-5.1.2","org.axonframework.update.api.ArtifactAvailableUpgrade",2,1,""
1,"axon-common-5.1.2","org.axonframework.common.jdbc.ConnectionProvider",2,1,"axon-update-5.1.2","org.axonframework.update.api.DetectedVulnerabilitySeverity",3,1,""
1,"axon-common-5.1.2","org.axonframework.common.jdbc.JdbcException",2,1,"axon-messaging-5.1.2","org.axonframework.messaging.core.ExecutionException",0,1,""
