"word","frequency","Source Cypher File: domains/git-history/queries/statistics/Words_for_git_author_Wordcloud_with_frequency.cypher"
"Marcus Kleppe",1,""
"Zafer CAKMAK",1,""
"Luke Horvat",1,""
"Danil Kravchenko",4,""
"Chris Chua",1,""
"David Schnurr",1,""
"dannyid",1,""
"Philipp Steinwender",1,""
"Gezim Hoxha",1,""
"Andreas Savvides",1,""
"Eric Skram",1,""
"Sabra Pratt",11,""
"Jamund Ferguson",2,""
"modernlegend",1,""
"Henric Trotzig",3,""
"David Bashford",1,""
"Frank Leng",1,""
"davertron",1,""
"Devil Red",1,""
"Brandon Lilly",1,""
"ustccjw",1,""
"jhill",1,""
"Stephen Rivas JR",1,""
"Iestyn Williams",1,""
"etiennetremel",1,""
"Etienne Tremel",1,""
"Barrett Sonntag",1,""
"Mike Wilcox",1,""
"kelsadita",1,""
"Alexis L.",1,""
"Rudi Yardley",1,""
"Nestor Toro",2,""
"Ramana Venkata",2,""
"David Zukowski",1,""
"lime008",2,""
"jdelight",1,""
"Kamil Szot",1,""
"Hugo Dozois",1,""
"David Idol",2,""
"Andrew Clark",2,""
"Qiming Weng",2,""
"Eric Peterson",1,""
"Stanley Yang",1,""
"Joe Lutz",1,""
"Andres Suarez",1,""
"Johannes Lumpe",3,""
"Steven Luscher",1,""
"Mattias Rydengren",1,""
"Gal Schlezinger",11,""
"Olle Werme",2,""
"Tom Robinson",1,""
"PatrickJS",1,""
"Ryan Blakeley",1,""
"Olim Saidov",1,""
"Moustafa Badawy",1,""
"Sherod Taylor",1,""
"Miguel Gonzalez",1,""
"Jeremy Apthorp",1,""
"motiz88",1,""
"Gregor MacLennan",3,""
"Jirat Arinrith",1,""
"heebtob",1,""
"Tomohiro Takezawa",1,""
"Alvaro Oliveira",1,""
"Berkeley Martinez",1,""
"Roman Boiko",4,""
"Abhilash",1,""
"Chris Wheatley",1,""
"铁哥",1,""
"Mordy Tikotzky",1,""
"Vasa",1,""
"Andre Ogle",1,""
"Mark Funk",1,""
"Nathan Tran",1,""
"Andrew Rasmussen",1,""
"Alberto Leal",1,""
"leungwensen",1,""
"Prathamesh Sonpatki",1,""
"cluelessjoe",1,""
"Kevin Coughlin",1,""
"giles",1,""
"Nate Bailey",1,""
"sueyeh",1,""
"Daryl Moulder",1,""
"Nick Oliver",1,""
"Andrew Ralston",1,""
"reod",1,""
"Maxime Tyler",1,""
"William Wung",1,""
"Jared",2,""
"Alex Boyd",1,""
"Wilfried Boukhers",2,""
"torkvalo",2,""
"Micah Martin",1,""
"Joe Krill",3,""
"Frankie Bagnardi",8,""
"Jonathan Wilde",1,""
"Sander",1,""
"Johannes Stein",2,""
"Dan Dean",2,""
"Mario Zupan",1,""
"Kirill Konshin",2,""
"Varatep Buranintu",1,""
"Benjie Gillam",2,""
"Joey Yang",1,""
"Evan Summers",1,""
"Morgan Brunot",1,""
"Maximilian Hils",2,""
"Morgan",1,""
"Brad Daily",2,""
"Casey Foster",1,""
"Edygar de Lima Oliveira",1,""
"Travis Simpson",1,""
"Dmitry Manannikov",1,""
"KungD",1,""
"Landon Wilkins",2,""
"Yuval Kordov",2,""
"Tim Griesser",2,""
"James Baird",1,""
"Thijs Koerselman",2,""
"Kenneth Chung",1,""
"Tom Wu",1,""
"Andrew Ray",1,""
"Eric Schoffstall",1,""
"jarvis",1,""
"David Bunker",1,""
"Chih-Wei Chang",1,""
"Jukka Tupamäki",1,""
"Johannes Ewald",1,""
"Peng Zhong",1,""
"alex",2,""
"Stefan Dombrowski",1,""
"Ben Fletcher",2,""
"Damon Aw",1,""
"Justin Gordon",2,""
"Nicolas Bregenzer",2,""
"Christian Takle",1,""
"Michael Rienstra",1,""
"Jeff Winkler",1,""
"natew",1,""
"Maximilian Hoffmann",1,""
"pelonpelon",1,""
"Wilbert van de Ridder",1,""
"Ross Pokorny",1,""
"Frederik Creemers",1,""
"taurose",1,""
"Vladimir Gordeev",1,""
"Merrick Christensen",1,""
"Christian Wesselhoeft",1,""
"Paolo Moretti",2,""
"Zacharias",1,""
"Royce Haynes",1,""
"Daniel Cannon",6,""
"Stephen Bradshaw",1,""
"Mikael Abrahamsson",1,""
"Ben Alpert",6,""
"Justin Tulloss",1,""
"Simon Williams",2,""
"Jesse Skinner",1,""
"Moritz Schwörer",1,""
"Thorn",1,""
"Rick Harrison",1,""
"Simen Brekken",2,""
"Aaron Shafovaloff",3,""
"Nish Patel",1,""
"Paul Statezny",1,""
"Randy Reddig",1,""
"Karolis Narkevicius",3,""
"Anders Åberg",1,""
"Massimo Lusetti",1,""
"Kyle Mathews",2,""
"Andreas Eldh",1,""
"Julen Ruiz Aizpuru",1,""
"Hugues Malphettes",1,""
"Anders Åberg",1,""
"Sean Adkinson",3,""
"Ustun Ozgur",1,""
"Thomas Boyt",1,""
"Isao Jonas",1,""
"Matthew Smith",1,""
"Sergey Generalov",1,""
"Bob Eagan",3,""
"Pavel Lang",1,""
"Zach Wily",1,""
"Jed Watson",1,""
"Jared Forsyth",1,""
"Matt Zabriskie",1,""
"Ben Johnson",4,""
"Luigy Leon",1,""
"Ryan Shaw",1,""
"Luke BrownGold",1,""
"Murray, Elizabeth",2,""
"jaketrent",1,""
"Chris Lee",1,""
"Litek",3,""
"Tobias Koppers",1,""
"Jake Trent",2,""
"petehunt",2,""
"Ben Youngblood",2,""
"Jeroen Coumans",1,""
"Andrey Popp",1,""
"Justin Reidy",3,""
