"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: domains/git-history/queries/statistics/List_git_file_directories_with_commit_statistics.cypher"
"react-router-7.16.0/playground/rsc-vite/src/routes","routes","react-router-7.16.0/playground/rsc-vite/src","src","Matt Brophy","Jacob Ebey",,2,14,13,"2025-12-04","2025-12-17","2025-12-17",173,186,172,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/root/root.tsx",5,1,""
"react-router-7.16.0/playground/rsc-vite/src/routes/about","about","react-router-7.16.0/playground/rsc-vite/src/routes","routes","Matt Brophy","Jacob Ebey",,2,2,4,"2025-06-26","2025-06-26","2025-07-16",327,346,346,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/about/about.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite/src/routes/child","child","react-router-7.16.0/playground/rsc-vite/src/routes","routes","Matt Brophy","Jacob Ebey",,2,1,4,"2025-06-26","2025-06-26","2025-07-16",327,346,346,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/child/child.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite/src/routes/home","home","react-router-7.16.0/playground/rsc-vite/src/routes","routes","Matt Brophy","Jacob Ebey",,2,4,5,"2025-06-26","2025-06-28","2025-07-16",327,346,345,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/home/home.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite/src/routes/parent","parent","react-router-7.16.0/playground/rsc-vite/src/routes","routes","Matt Brophy","Jacob Ebey",,2,1,4,"2025-06-26","2025-06-26","2025-07-16",327,346,346,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/parent/parent.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite/src/routes/parent-index","parent-index","react-router-7.16.0/playground/rsc-vite/src/routes","routes","Matt Brophy","Jacob Ebey",,2,1,4,"2025-06-26","2025-06-26","2025-07-16",327,346,346,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/parent-index/parent-index.tsx",6,1,""
"react-router-7.16.0/playground/rsc-vite/src/routes/root","root","react-router-7.16.0/playground/rsc-vite/src/routes","routes","Matt Brophy","Jacob Ebey",,2,3,10,"2025-06-26","2025-12-17","2025-12-17",173,346,172,"f153b191e1c52bc8fb0e485bfd5d8ec2a8752104","react-router-7.16.0/playground/rsc-vite/src/routes/root/root.tsx",6,1,""
"react-router-7.16.0/playground/split-route-modules","split-route-modules","react-router-7.16.0/playground","playground","Matt Brophy","Mark Dalgleish","RFCreate",4,12,24,"2025-01-30","2026-04-02","2026-04-02",67,494,66,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.16.0/playground/split-route-modules/vite.config.ts",3,1,""
"react-router-7.16.0/playground/split-route-modules-spa","split-route-modules-spa","react-router-7.16.0/playground","playground","Matt Brophy","Mark Dalgleish","RFCreate",4,12,24,"2025-01-30","2026-04-02","2026-04-02",67,494,66,"ff50507a7db5e0e5b6fc36b7f5e73c10b722b21c","react-router-7.16.0/playground/split-route-modules-spa/vite.config.ts",3,1,""
"react-router-7.16.0/playground/split-route-modules-spa/app","app","react-router-7.16.0/playground/split-route-modules-spa","split-route-modules-spa","Matt Brophy","Mark Dalgleish",,2,6,5,"2025-01-30","2025-01-30","2025-02-18",475,494,494,"e02e1951c0ea48eeaec1788177ae0e4a7474dcac","react-router-7.16.0/playground/split-route-modules-spa/app/routes/unsplittable.tsx",4,1,""
