"artifactName","packageName","communityId","numberOfTypesInPackage","numberOfTypesInCommunity","numberOfTypes","Source Cypher File: Community_Detection/Type_communities_with_few_members_in_foreign_packages.cypher"
"axon-messaging-4.12.1","org.axonframework.messaging",11,34,115,7,""
"axon-messaging-4.12.1","org.axonframework.common.jdbc",11,18,115,7,""
"axon-test-4.12.1","org.axonframework.test.aggregate",10,19,87,7,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.legacyjpa",7,10,85,7,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.util",14,30,56,7,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga",8,33,42,7,""
"axon-messaging-4.12.1","org.axonframework.common.lock",12,11,36,7,""
"axon-messaging-4.12.1","org.axonframework.commandhandling.gateway",9,34,132,8,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.replay",11,10,115,8,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.conflictresolution",4,9,96,8,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot",3,28,141,9,""
"axon-messaging-4.12.1","org.axonframework.common",5,27,136,9,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",4,99,96,9,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon",4,32,96,9,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore",7,30,85,9,""
"axon-messaging-4.12.1","org.axonframework.deadline",2,13,174,10,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.util",3,30,141,10,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig",0,41,129,10,""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot",0,28,129,10,""
"axon-disruptor-4.12.1","org.axonframework.disruptor.commandhandling",11,22,115,10,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector",14,30,56,10,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository",8,15,42,10,""
"axon-modelling-4.12.1","org.axonframework.modelling.command",5,56,136,11,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",11,99,115,11,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon",14,32,56,11,""
"axon-messaging-4.12.1","org.axonframework.messaging",2,34,174,12,""
"axon-disruptor-4.12.1","org.axonframework.disruptor.commandhandling",10,22,87,12,""
"axon-test-4.12.1","org.axonframework.test.aggregate",23,19,67,12,""
"axon-messaging-4.12.1","org.axonframework.tracing",3,18,141,13,""
"axon-messaging-4.12.1","org.axonframework.messaging.unitofwork",11,14,115,13,""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query",3,21,141,16,""
"axon-test-4.12.1","org.axonframework.test.saga",23,21,67,16,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.async",9,18,132,17,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",0,99,129,17,""
"axon-messaging-4.12.1","org.axonframework.messaging.deadletter",9,19,132,18,""
"axon-modelling-4.12.1","org.axonframework.modelling.command.inspection",5,26,136,19,""
"axon-messaging-4.12.1","org.axonframework.commandhandling",6,31,119,19,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore",4,30,96,19,""
"axon-modelling-4.12.1","org.axonframework.modelling.command",6,56,119,20,""
"axon-modelling-4.12.1","org.axonframework.modelling.saga",5,33,136,21,""
"axon-modelling-4.12.1","org.axonframework.modelling.command",10,56,87,21,""
"axon-messaging-4.12.1","org.axonframework.eventhandling.pooled",7,22,85,21,""
"axon-test-4.12.1","org.axonframework.test.matchers",23,24,67,22,""
"axon-messaging-4.12.1","org.axonframework.commandhandling.distributed",6,26,119,23,""
"axon-messaging-4.12.1","org.axonframework.messaging.annotation",11,54,115,23,""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing",10,41,87,24,""
"axon-messaging-4.12.1","org.axonframework.commandhandling.gateway",6,34,119,25,""
"axon-messaging-4.12.1","org.axonframework.messaging.annotation",5,54,136,26,""
"axon-messaging-4.12.1","org.axonframework.serialization",2,33,174,30,""
"axon-messaging-4.12.1","org.axonframework.eventhandling",7,99,85,38,""
"axon-configuration-4.12.1","org.axonframework.config",0,43,129,40,""
"axon-messaging-4.12.1","org.axonframework.queryhandling",3,47,141,41,""
