"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","stronglyConnectedComponentId","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","communityFastRpHdbscanLabel","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/community-detection/Community_Detection_Summary.cypher"
"org.axonframework.messaging.commandhandling.gateway","gateway",0,"100,100,100",2,"100,12,7",0.0835498984931863,54,0,0,9,15,2,20,191,""
"org.axonframework.messaging.commandhandling.retry","retry",0,"100,100,100",2,"100,12,7",0.0835498984931863,56,0,0,5,14,2,0,168,""
"org.axonframework.messaging.commandhandling.tracing","tracing",0,"100,100,100",2,"100,12,7",0.0835498984931863,57,0,0,5,0,2,7,156,""
"org.axonframework.messaging.commandhandling.configuration","configuration",0,"100,100,100",2,"100,12,7",0.0835498984931863,58,0,0,10,19,2,11,292,""
"org.axonframework.messaging.eventhandling","eventhandling",7,"72,72,72",1,"17,21,2",0.05724384678141533,54,0,0,11,19,2,3260,699,""
"org.axonframework.messaging.eventhandling.annotation","annotation",5,"101,101,101",2,"101,12,7",0.0835498984931863,54,0,0,11,11,2,16,642,""
"org.axonframework.messaging.eventhandling.replay","replay",0,"100,100,100",2,"100,12,7",0.0835498984931863,54,0,0,11,1,2,57,197,""
"org.axonframework.messaging.eventhandling.replay.annotation","annotation",5,"101,101,101",2,"101,12,7",0.0835498984931863,59,0,0,8,8,2,6,159,""
"org.axonframework.messaging.eventhandling.interception","interception",7,"72,72,72",1,"17,21,2",0.05724384678141533,60,0,0,7,18,2,4,218,""
"org.axonframework.messaging.eventhandling.gateway","gateway",7,"72,72,72",1,"17,21,2",0.05724384678141533,54,0,0,8,18,2,9,126,""
"org.axonframework.messaging.eventhandling.conversion","conversion",3,"115,115,115",3,"115,15,0",0.07268373233472526,54,0,0,11,9,2,18,35,""
"org.axonframework.messaging.eventhandling.processing","processing",6,"88,88,88",6,"88,5,8",0.07003745521301888,61,0,0,11,8,2,14,222,""
"org.axonframework.messaging.eventhandling.processing.streaming","streaming",1,"17,17,17",1,"17,21,2",0.05724384678141533,62,0,0,6,17,2,5,16,""
"org.axonframework.messaging.eventhandling.processing.streaming.token","token",1,"17,17,17",1,"17,21,2",0.05724384678141533,54,0,0,11,18,2,469,19,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",1,"17,17,17",1,"17,21,2",0.05724384678141533,63,0,0,4,16,2,1,30,""
