"internalModuleName","externalNamespaceName","numberOfExternalDeclarationCaller","numberOfExternalDeclarationCalls","numberOfAllElementsInInternalModule","numberOfAllExternalDeclarationsUsedInInternalModule","numberOfAllExternalModulesUsedInInternalModule","externalDeclarationRate","externalDeclarationNames","Source Cypher File: domains/external-dependencies/queries/External_namespace_usage_per_internal_module_sorted_for_Typescript.cypher"
"server","@types",61,92,41,53,14,129.2682926829268,"React.ReactNode,React.ReactElement,React.Fragment,React.createElement,React.FunctionComponent,React.ComponentClass,e.Response.flushHeaders,e.Response.append,e.Response.end,e.Response,e.Response.statusMessage,e.Response.status,QueryString.ParsedQs,ParamsDictionary,e.Request,e.Request.hostname,e.Response.on,e.Request.get,e.Request.headers,e.Request.protocol,Application.enabled,e.Request.originalUrl,e.Request.method,e.Request.app,e.NextFunction,APIGatewayProxyEventHeaders,APIGatewayProxyEventV2,APIGatewayProxyResultV2,Callback,Context,APIGatewayEventRequestContextV2,APIGatewayProxyStructuredResultV2,APIGatewayProxyEventV2.requestContext,global.BufferConstructor.from,APIGatewayProxyEventV2.headers,global.Buffer.toString,APIGatewayProxyEventV2.isBase64Encoded,APIGatewayProxyEventHeaders.host,APIGatewayProxyEventV2.rawQueryString,global.NodeJS.ProcessEnv.ARC_SANDBOX,APIGatewayProxyEventV2.cookies,APIGatewayEventRequestContextV2.http,APIGatewayProxyEventV2.body,global.NodeJS.Process.env,APIGatewayProxyEventV2.rawPath,APIGatewayProxyEventHeaders.""content-type"",APIGatewayProxyEventHeaders.""x-forwarded-host"",APIGatewayEventRequestContextV2.domainName",""
"server","no namespace",6,6,41,53,14,129.2682926829268,"AsyncLocalStorage.getStore,IncomingHttpHeaders,RequestListener",""
"server","@mjackson",2,2,41,53,14,129.2682926829268,"ClientAddress,createRequestListener",""
"flatRoutes","no namespace",10,21,13,15,5,115.38461538461539,"node:path,.existsSync,node:fs,Dirent.isFile,.readdirSync,makeRe,Dirent.name,Dirent.isDirectory",""
"flatRoutes","@types",8,18,13,15,5,115.38461538461539,"path.PlatformPath.posix,path.PlatformPath.extname,path.PlatformPath.dirname,path.PlatformPath.relative,path.PlatformPath.join,path.PlatformPath.sep,path.PlatformPath.win32",""
"cookies","no namespace",7,33,6,6,2,100,"StringifyOptions,ParseOptions,parse,serialize,Cookies.name,SerializeOptions",""
"copy-template","no namespace",2,2,2,2,1,100,"node:url,.fileURLToPath",""
"detectPackageManager","@types",1,1,1,1,1,100,"global.NodeJS.Process.env",""
"has-dependency","@types",1,1,1,1,1,100,"global.NodeJS.Require.resolve",""
"virtual-route-modules","@types",2,2,4,4,2,100,"GeneratorResult.code,GeneratorResult",""
"virtual-route-modules","no namespace",2,2,4,4,2,100,"init,parse",""
"babel","@types",1,1,2,1,1,50,"generate",""
"sessions","no namespace",6,67,11,5,1,45.45454545454546,"ParseOptions,SerializeOptions,StringifyOptions,SerializeOptions.expires,SerializeOptions.maxAge",""
"context","@types",27,65,21,9,1,42.857142857142854,"React.Context,React.createContext,React.useContext,React.ReactNode,React.ReactElement,React.FunctionComponentElement,React.Context.Provider,React.createElement,React.ProviderProps",""
"generate","no namespace",4,4,5,2,2,40,"join",""
"generate","@types",1,3,5,2,2,40,"GeneratorResult.code",""
"utils","no namespace",30,100,149,29,12,19.46308724832215,"picocolors,Formatter,node:process,node:path,readdir,node:fs,.mkdir,.promises,cursor,erase.line,erase,erase.lines,cursor.to,Key.name,Key.ctrl,Key,Key.meta,.stat,Stats.isFile,Stats.isDirectory",""
"utils","@types",15,41,149,29,12,19.46308724832215,"React.FunctionComponent,React.ReactNode,React.ComponentClass,global.NodeJS.WriteStream,path.PlatformPath.sep,global.NodeJS.Process.stderr,global.NodeJS.Process.stdout,global.NodeJS.ProcessEnv.TERM,global.NodeJS.Process.env",""
"build","no namespace",1,1,7,1,1,14.285714285714286,"version",""
"routeModules","@types",12,170,21,3,1,14.285714285714285,"React.FunctionComponent,React.ReactElement,React.ComponentClass",""
"fog-of-war","@types",1,1,8,1,1,12.5,"React.useEffect",""
"react-router","@types",31,79,178,19,4,10.674157303370787,"React.FunctionComponentElement,React.Context.Provider,React.createElement,React.ProviderProps,React.ReactNode,React.ReactElement,React.Fragment,React.FunctionComponent,React.ComponentClass,React.Context,React.createContext,React.useEffect",""
"react-router","no namespace",11,37,178,19,4,10.674157303370787,"AsyncLocalStorage.getStore,parse,serialize,Cookies.name,StringifyOptions,ParseOptions,SerializeOptions",""
