"artifactName","annotationName","languageElement","numberOfAnnotatedElements","examples","Source Cypher File: domains/java/queries/java-code-quality/Annotated_code_elements_per_artifact.cypher"
"axon-server-connector-5.1.2","org.axonframework.common.annotation.Internal","Class",12,"io.axoniq.framework.axonserver.connector.shared.MetadataConverter,io.axoniq.framework.axonserver.connector.query.AbstractQueryResponseMessageStream,io.axoniq.framework.axonserver.connector.query.QueryConverter,io.axoniq.framework.axonserver.connector.query.QueryResponseMessageStream,io.axoniq.framework.axonserver.connector.query.FlowControlledResponseSender,io.axoniq.framework.axonserver.connector.event.TaggedEventConverter,io.axoniq.framework.axonserver.connector.event.SourcingEventMessageStream,io.axoniq.framework.axonserver.connector.event.ConditionConverter,io.axoniq.framework.axonserver.connector.event.EventProcessorControlService",""
"axon-server-connector-5.1.2","org.jspecify.annotations.NullMarked","Interface",10,"io.axoniq.framework.axonserver.connector.shared.package-info,io.axoniq.framework.axonserver.connector.snapshot.package-info,io.axoniq.framework.axonserver.connector.util.package-info,io.axoniq.framework.axonserver.connector.query.package-info,io.axoniq.framework.axonserver.connector.api.package-info,io.axoniq.framework.axonserver.connector.api.query.package-info,io.axoniq.framework.axonserver.connector.api.command.package-info,io.axoniq.framework.axonserver.connector.event.package-info,io.axoniq.framework.axonserver.connector.configuration.package-info",""
"axon-server-connector-5.1.2","java.lang.Deprecated","Method",2,"io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration.getQueryResponseThreads,io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration.setQueryResponseThreads",""
"axon-server-connector-5.1.2","java.lang.FunctionalInterface","Interface",2,"io.axoniq.framework.axonserver.connector.configuration.ManagedChannelCustomizer,io.axoniq.framework.axonserver.connector.configuration.TopologyChangeListener",""
"axon-server-connector-5.1.2","org.springframework.boot.context.properties.ConfigurationProperties","Class",1,"io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration",""
"axon-server-connector-5.1.2","java.lang.Deprecated","Field",1,"io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration.queryResponseThreads",""
"axon-test-5.1.2","org.axonframework.common.annotation.Internal","Class",8,"org.axonframework.test.fixture.RecordingComponentsRegistry,org.axonframework.test.fixture.RecordingCommandBus,org.axonframework.test.fixture.RecordingEventSink,org.axonframework.test.fixture.MessagesRecordingConfigurationEnhancer,org.axonframework.test.fixture.RecordingEventBus,org.axonframework.test.fixture.RecordingEventStore,org.axonframework.test.extension.ProvidedAxonTestFixtureUtils,org.axonframework.test.util.RecordingCommandBus",""
"axon-test-5.1.2","org.jspecify.annotations.NullMarked","Interface",5,"org.axonframework.test.fixture.package-info,org.axonframework.test.extension.package-info,org.axonframework.test.package-info,org.axonframework.test.util.package-info,org.axonframework.test.matchers.package-info",""
"axon-test-5.1.2","java.lang.SafeVarargs","Constructor",5,"org.axonframework.test.matchers.SequenceMatcher.<init>,org.axonframework.test.matchers.ListMatcher.<init>,org.axonframework.test.matchers.ExactSequenceMatcher.<init>,org.axonframework.test.matchers.ListWithAllOfMatcher.<init>,org.axonframework.test.matchers.ListWithAnyOfMatcher.<init>",""
"axon-test-5.1.2","java.lang.SafeVarargs","Method",4,"org.axonframework.test.matchers.Matchers.listWithAllOf,org.axonframework.test.matchers.Matchers.listWithAnyOf,org.axonframework.test.matchers.Matchers.sequenceOf,org.axonframework.test.matchers.Matchers.exactSequenceOf",""
"axon-test-5.1.2","java.lang.Deprecated","Method",2,"org.axonframework.test.fixture.AxonTestThenCommand.resultMessagePayloadSatisfies,org.axonframework.test.fixture.AxonTestPhase$Then$Command.resultMessagePayloadSatisfies",""
"axon-test-5.1.2","java.lang.FunctionalInterface","Interface",2,"org.axonframework.test.matchers.FieldFilter,org.axonframework.test.extension.AxonTestFixtureProvider",""
"axon-test-5.1.2","java.lang.annotation.Retention","Annotation",1,"org.axonframework.test.extension.ProvidedAxonTestFixture",""
"axon-test-5.1.2","java.lang.annotation.Target","Annotation",1,"org.axonframework.test.extension.ProvidedAxonTestFixture",""
"axon-test-5.1.2","org.axonframework.common.Priority","Class",1,"org.axonframework.test.FixtureResourceParameterResolverFactory",""
"axon-tracing-opentelemetry-5.1.2","org.jspecify.annotations.NullMarked","Interface",1,"org.axonframework.extension.tracing.opentelemetry.package-info",""
"axon-update-5.1.2","org.axonframework.common.annotation.Internal","Class",13,"org.axonframework.update.UpdateChecker,org.axonframework.update.detection.MachineId,org.axonframework.update.common.DelayedTask,org.axonframework.update.detection.KotlinVersion,org.axonframework.update.detection.AxonVersionDetector,org.axonframework.update.detection.TestEnvironmentDetector,org.axonframework.update.UpdateCheckerConfigurationEnhancer,org.axonframework.update.UpdateCheckerHttpClient,org.axonframework.update.configuration.CommandLineUsagePropertyProvider",""
"axon-update-5.1.2","org.axonframework.common.annotation.Internal","Type",5,"org.axonframework.update.api.DetectedVulnerability,org.axonframework.update.api.UpdateCheckResponse,org.axonframework.update.api.UpdateCheckRequest,org.axonframework.update.api.ArtifactAvailableUpgrade,org.axonframework.update.api.Artifact",""
"axon-update-5.1.2","org.jspecify.annotations.NullMarked","Interface",5,"org.axonframework.update.api.package-info,org.axonframework.update.detection.package-info,org.axonframework.update.common.package-info,org.axonframework.update.package-info,org.axonframework.update.configuration.package-info",""
"axon-update-5.1.2","org.axonframework.common.annotation.Internal","Enum",1,"org.axonframework.update.api.DetectedVulnerabilitySeverity",""
"axon-update-5.1.2","org.axonframework.common.annotation.RegistrationScope","Class",1,"org.axonframework.update.UpdateCheckerConfigurationEnhancer",""
"axon-update-5.1.2","org.axonframework.common.annotation.Internal","Interface",1,"org.axonframework.update.configuration.UsagePropertyProvider",""
"axon-update-5.1.2","java.lang.FunctionalInterface","Interface",1,"org.axonframework.update.configuration.EnvironmentVariableUsagePropertyProvider$EnvironmentVariableSupplier",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.context.annotation.Bean","Method",12,"io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration.disablePostgresqlConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration.jpaDeadLetterQueueFactory,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.disableAxonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration.dlqCustomization,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationWithConnectionDetails,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.tagsConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.topologyChangeListenerConfigurerModule,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration.deadLetterSchema",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.AutoConfiguration","Class",6,"io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration,io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Method",6,"io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration.disablePostgresqlConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.disableAxonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationEnhancer,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationWithConnectionDetails,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.tagsConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.topologyChangeListenerConfigurerModule",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.jspecify.annotations.NullMarked","Interface",5,"io.axoniq.framework.springboot.service.connection.package-info,io.axoniq.framework.springboot.actuator.package-info,io.axoniq.framework.springboot.actuator.axonserver.package-info,io.axoniq.framework.springboot.autoconfig.package-info,io.axoniq.framework.springboot.package-info",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnClass","Class",5,"io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnMissingBean","Method",5,"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration.jpaDeadLetterQueueFactory,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration.deadLetterSchema,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration.jdbcDeadLetterQueueFactory,io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerHealthIndicator,io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration.axonServerStatusAggregator",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.context.properties.ConfigurationProperties","Class",3,"io.axoniq.framework.springboot.TagsConfigurationProperties,io.axoniq.framework.springboot.PostgresqlProperties,io.axoniq.framework.springboot.DeadLetterQueueProcessorProperties",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.context.properties.EnableConfigurationProperties","Class",3,"io.axoniq.framework.springboot.autoconfig.PostgresqlAutoConfiguration,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration,io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnBean","Class",3,"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.DeadLetterQueueAutoConfiguration,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnBean","Method",3,"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration.jpaDeadLetterQueueFactory,io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.axonServerConfigurationWithConnectionDetails,io.axoniq.framework.springboot.autoconfig.JdbcDeadLetterQueueAutoConfiguration.jdbcDeadLetterQueueFactory",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.axonframework.extension.springboot.util.RegisterDefaultEntities","Class",1,"io.axoniq.framework.springboot.autoconfig.JpaDeadLetterQueueAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.AutoConfigureBefore","Class",1,"io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.lang.Nullable","Parameter",1,"io.axoniq.framework.springboot.autoconfig.AxonServerAutoConfiguration.clientName(0)",""
"axoniq-spring-boot-autoconfigure-5.1.2","org.springframework.boot.autoconfigure.condition.ConditionalOnProperty","Class",1,"io.axoniq.framework.springboot.autoconfig.AxonServerActuatorAutoConfiguration",""
