"artifactName","packageName","typeName","sumEffectiveLinesOfMethodCode","maxEffectiveLinesOfMethodCode","methodWithMaxEffectiveLinesOfMethodCode","maxCyclomaticComplexity","methodWithMaxCyclomaticComplexity","Source Cypher File: domains/java/queries/method-metrics/Effective_lines_of_method_code_per_type.cypher"
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestWhen",57,11,"<init>",2,"lambda$events$2",""
"axon-tracing-opentelemetry-5.1.2","org.axonframework.extension.tracing.opentelemetry","OpenTelemetrySpanFactory",57,9,"createHandlerSpan",3,"addLinks",""
"axon-conversion-5.1.2","org.axonframework.conversion.avro","SpecificRecordBaseConverterStrategy",57,19,"convertFromSingleObjectEncoded",9,"convertFromSingleObjectEncoded",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.configuration","EventProcessorConfiguration",56,16,"<init>",2,"<init>",""
"axon-modelling-5.1.2","org.axonframework.modelling","SimpleStateManager",55,9,"register",4,"lambda$loadManagedEntity$4",""
"axon-update-5.1.2","org.axonframework.update","LoggingUpdateCheckerReporter",55,14,"report",6,"report",""
"axon-messaging-5.1.2","org.axonframework.messaging.queryhandling","SimpleQueryUpdateEmitter",55,6,"<init>",3,"asUpdateMessage",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","DelayedMessageStream",55,11,"createSingle",6,"error",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","InMemoryTokenStore",54,8,"lambda$initializeTokenSegments$0",4,"lambda$initializeTokenSegments$0",""
"axon-test-5.1.2","org.axonframework.test.fixture","AxonTestGiven",53,9,"<init>",2,"lambda$commands$3",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation","AnnotationBasedEventCriteriaResolver",52,21,"<init>",2,"lambda$new$3",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing.annotation.reflection","AnnotationBasedEventSourcedEntityFactory$ScannedEntityCreator",52,9,"<init>",7,"constructEntityWithArguments",""
"axon-messaging-5.1.2","org.axonframework.messaging.core","MergedMessageStream",52,10,"peek",8,"peek",""
"axon-test-5.1.2","org.axonframework.test.fixture","CommandValidator",51,26,"assertDispatchedEqualTo",9,"assertDispatchedEqualTo",""
"axon-eventsourcing-5.1.2","org.axonframework.eventsourcing","EventSourcingRepository",51,8,"<init>",3,"lambda$doLoad$1",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.segmenting","Segment",51,10,"splitBalanced",6,"equals",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.query","FlowControlledResponseSender",50,16,"sendResponses",7,"responseSendingLoop",""
"axon-update-5.1.2","org.axonframework.update.configuration","PropertyFileUsagePropertyProvider",50,17,"load",7,"load",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","Coordinator$Builder",50,10,"<init>",1,"lambda$new$0",""
"axon-messaging-5.1.2","org.axonframework.messaging.eventhandling.processing.streaming.pooled","MergeTask",49,10,"task",2,"task",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.util","PriorityExecutorService",48,6,"lambda$submit$0",2,"createPriorityCallable",""
"axon-server-connector-5.1.2","io.axoniq.framework.axonserver.connector.event","AxonServerEventStorageEngine",48,8,"appendEvents",2,"firstToken",""
