"artifactName","artifactPackages","artifactTypes","artifactExternalPackagesFirst2Levels","artifactExternalCallingPackages","artifactExternalCallingPackagesRate","externalPackageNameFirst2Levels","numberOfPackages","numberOfTypes","packagesCallingExternalRate","typesCallingExternalRate","nameOfPackages","someTypeNames","Source Cypher File: domains/external-dependencies/queries/External_second_level_package_usage_per_artifact_and_external_package.cypher"
"axon-modelling-5.1.0",7,99,2,7,100,"org.slf4j",2,2,28.571428571428573,2.0202020202020203,"org.axonframework.modelling,org.axonframework.modelling.entity.annotation","org.axonframework.modelling.SimpleEntityEvolvingComponent,org.axonframework.modelling.entity.annotation.AnnotatedEntityMetamodel",""
"axon-server-connector-5.1.0",10,79,7,10,100,"io.axoniq",10,42,100,53.16455696202532,"io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.api.query,io.axoniq.framework.axonserver.connector.api.command,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.configuration,io.axoniq.framework.axonserver.connector.command","io.axoniq.framework.axonserver.connector.shared.MetadataConverter$1,io.axoniq.framework.axonserver.connector.shared.ExceptionConverter,io.axoniq.framework.axonserver.connector.shared.ExceptionFactory,io.axoniq.framework.axonserver.connector.shared.MetadataConverter,io.axoniq.framework.axonserver.connector.snapshot.AxonServerSnapshotStore,io.axoniq.framework.axonserver.connector.util.ProcessingInstructionUtils,io.axoniq.framework.axonserver.connector.query.AxonServerQueryBusConnector,io.axoniq.framework.axonserver.connector.query.QueryResponseMessageStream,io.axoniq.framework.axonserver.connector.query.QueryUpdateMessageStream",""
"axon-server-connector-5.1.0",10,79,7,10,100,"org.jspecify",10,10,100,12.658227848101266,"io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.api.query,io.axoniq.framework.axonserver.connector.api.command,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.configuration,io.axoniq.framework.axonserver.connector.command","io.axoniq.framework.axonserver.connector.shared.package-info,io.axoniq.framework.axonserver.connector.snapshot.package-info,io.axoniq.framework.axonserver.connector.util.package-info,io.axoniq.framework.axonserver.connector.query.package-info,io.axoniq.framework.axonserver.connector.api.package-info,io.axoniq.framework.axonserver.connector.api.query.package-info,io.axoniq.framework.axonserver.connector.api.command.package-info,io.axoniq.framework.axonserver.connector.event.package-info,io.axoniq.framework.axonserver.connector.configuration.package-info",""
"axon-server-connector-5.1.0",10,79,7,10,100,"com.google",6,9,60,11.39240506329114,"io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.command","io.axoniq.framework.axonserver.connector.shared.ExceptionConverter,io.axoniq.framework.axonserver.connector.snapshot.AxonServerSnapshotStore,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1$1,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1,io.axoniq.framework.axonserver.connector.query.QueryConverter,io.axoniq.framework.axonserver.connector.event.TaggedEventConverter,io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine,io.axoniq.framework.axonserver.connector.event.ConditionConverter,io.axoniq.framework.axonserver.connector.command.CommandConverter",""
"axon-server-connector-5.1.0",10,79,7,10,100,"io.grpc",6,9,60,11.39240506329114,"io.axoniq.framework.axonserver.connector.shared,io.axoniq.framework.axonserver.connector.snapshot,io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.api,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.configuration","io.axoniq.framework.axonserver.connector.shared.GrpcExceptionParser,io.axoniq.framework.axonserver.connector.snapshot.AxonServerSnapshotStore,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1$1,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1,io.axoniq.framework.axonserver.connector.util.UpstreamAwareStreamObserver,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor,io.axoniq.framework.axonserver.connector.api.AxonServerConnectionManager$Builder,io.axoniq.framework.axonserver.connector.event.AggregateBasedAxonServerEventStorageEngine$1,io.axoniq.framework.axonserver.connector.configuration.ManagedChannelCustomizer",""
"axon-server-connector-5.1.0",10,79,7,10,100,"org.slf4j",4,12,40,15.18987341772152,"io.axoniq.framework.axonserver.connector.util,io.axoniq.framework.axonserver.connector.query,io.axoniq.framework.axonserver.connector.event,io.axoniq.framework.axonserver.connector.command","io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1$1,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor$1,io.axoniq.framework.axonserver.connector.util.GrpcMessageSizeInterceptor,io.axoniq.framework.axonserver.connector.query.AxonServerQueryBusConnector,io.axoniq.framework.axonserver.connector.event.StreamingEventMessageStream,io.axoniq.framework.axonserver.connector.event.AxonServerEventStorageEngine$AxonServerAppendTransaction,io.axoniq.framework.axonserver.connector.event.AxonServerEventStorageEngine,io.axoniq.framework.axonserver.connector.event.SourcingEventMessageStream,io.axoniq.framework.axonserver.connector.event.EventProcessorControlService$AxonProcessorInstructionHandler",""
"axon-server-connector-5.1.0",10,79,7,10,100,"org.springframework",1,1,10,1.2658227848101267,"io.axoniq.framework.axonserver.connector.api","io.axoniq.framework.axonserver.connector.api.AxonServerConfiguration",""
"axon-server-connector-5.1.0",10,79,7,10,100,"reactor.core",1,1,10,1.2658227848101267,"io.axoniq.framework.axonserver.connector.util","io.axoniq.framework.axonserver.connector.util.PriorityTaskSchedulers",""
"axon-test-5.1.0",5,79,5,5,100,"org.jspecify",5,5,100,6.329113924050633,"org.axonframework.test,org.axonframework.test.fixture,org.axonframework.test.extension,org.axonframework.test.util,org.axonframework.test.matchers","org.axonframework.test.package-info,org.axonframework.test.fixture.package-info,org.axonframework.test.extension.package-info,org.axonframework.test.util.package-info,org.axonframework.test.matchers.package-info",""
"axon-test-5.1.0",5,79,5,5,100,"org.hamcrest",3,22,60,27.848101265822788,"org.axonframework.test.fixture,org.axonframework.test.util,org.axonframework.test.matchers","org.axonframework.test.fixture.Reporter,org.axonframework.test.fixture.AxonTestThenEvent,org.axonframework.test.fixture.AxonTestThenMessage,org.axonframework.test.fixture.AxonTestThenCommand,org.axonframework.test.fixture.CommandValidator,org.axonframework.test.util.DescriptionUtils,org.axonframework.test.matchers.ExactSequenceMatcher,org.axonframework.test.matchers.SequenceMatcher,org.axonframework.test.matchers.EqualsMatcher",""
"axon-test-5.1.0",5,79,5,5,100,"org.awaitility",1,1,20,1.2658227848101267,"org.axonframework.test.fixture","org.axonframework.test.fixture.AxonTestThenMessage",""
"axon-test-5.1.0",5,79,5,5,100,"org.junit",1,1,20,1.2658227848101267,"org.axonframework.test.extension","org.axonframework.test.extension.AxonFrameworkExtension",""
"axon-test-5.1.0",5,79,5,5,100,"org.slf4j",1,1,20,1.2658227848101267,"org.axonframework.test.matchers","org.axonframework.test.matchers.DeepEqualsMatcher",""
"axon-tracing-opentelemetry-5.1.0",1,6,3,1,100,"io.opentelemetry",1,5,100,83.33333333333334,"org.axonframework.extension.tracing.opentelemetry","org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan,org.axonframework.extension.tracing.opentelemetry.MetadataContextSetter,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory$Builder,org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpanFactory,org.axonframework.extension.tracing.opentelemetry.MetadataContextGetter",""
"axon-tracing-opentelemetry-5.1.0",1,6,3,1,100,"org.jspecify",1,1,100,16.666666666666668,"org.axonframework.extension.tracing.opentelemetry","org.axonframework.extension.tracing.opentelemetry.package-info",""
"axon-tracing-opentelemetry-5.1.0",1,6,3,1,100,"org.slf4j",1,1,100,16.666666666666668,"org.axonframework.extension.tracing.opentelemetry","org.axonframework.extension.tracing.opentelemetry.OpenTelemetrySpan",""
