"directoryPath","directoryName","directoryParentPath","directoryParentName","mainAuthor","secondAuthor","thirdAuthor","authorCount","fileCount","commitCount","lastCreationDate","lastModificationDate","lastCommitDate","daysSinceLastCommit","daysSinceLastCreation","daysSinceLastModification","maxCommitSha","maxFileRelativePath","directoryPathLength","combinedDirectoriesCount","Source Cypher File: GitLog/List_git_file_directories_with_commit_statistics.cypher"
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jdbc/statements","statements","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jdbc","jdbc","Simon Zambrovski","Jan Galinski","Allard Buijze",4,15,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jdbc/statements/TimestampWriter.java",13,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jpa","jpa","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore","eventstore","Simon Zambrovski","Jan Galinski","Allard Buijze",4,1,16,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/eventstore/jpa/SnapshotEventEntry.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/snapshotting","snapshotting","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing","eventsourcing","Simon Zambrovski","Jan Galinski","Allard Buijze",4,13,17,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"d7929be4a8b9905a880c6cd65e50b29b7f07bef3","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/messaging/eventsourcing/snapshotting/SnapshotterSpanFactory.java",11,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring","spring","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework","axonframework","Steven van Beelen","Allard Buijze","Milan Savic",28,5,340,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fc944ad8e31ed4ed6fce2cda2ff66c7ba1c13451","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventsourcing/SpringPrototypeAggregateFactory.java",9,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventhandling/scheduling","eventhandling/scheduling","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring","spring","Steven van Beelen","Allard Buijze","smcvb",22,2,172,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fc944ad8e31ed4ed6fce2cda2ff66c7ba1c13451","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventhandling/scheduling/quartz/QuartzEventSchedulerFactoryBean.java",11,2,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventhandling/scheduling/quartz","quartz","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventhandling/scheduling","scheduling","Steven van Beelen","Allard Buijze","smcvb",20,1,158,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fc944ad8e31ed4ed6fce2cda2ff66c7ba1c13451","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventhandling/scheduling/quartz/QuartzEventSchedulerFactoryBean.java",12,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventsourcing","eventsourcing","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring","spring","Steven van Beelen","Allard Buijze","Milan Savic",23,3,291,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fc944ad8e31ed4ed6fce2cda2ff66c7ba1c13451","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/spring/eventsourcing/SpringPrototypeAggregateFactory.java",10,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot","springboot","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework","axonframework","Steven van Beelen","Mitchell Herrijgers","Simon Zambrovski",23,12,374,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fff26e09ec5b1f676e7dce07c5b766bce3877bfa","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot/util/DeadLetterQueueProviderConfigurerModule.java",9,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot/autoconfig","autoconfig","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot","springboot","Steven van Beelen","Mitchell Herrijgers","Simon Zambrovski",23,10,362,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fff26e09ec5b1f676e7dce07c5b766bce3877bfa","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot/autoconfig/PersistentStreamMessageSourceRegistrar.java",10,1,""
"AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot/util","util","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot","springboot","Simon Zambrovski","Jan Galinski","Allard Buijze",5,1,27,"2025-11-17","2025-11-17","2025-11-18",25,25,25,"fef8b0a634262016191824c78cef042626e12fd2","AxonFramework-5.0.0/stash/todo/src/main/java/org/axonframework/springboot/util/DeadLetterQueueProviderConfigurerModule.java",10,1,""
