"artifactName","fullPackageName","externalPackageName","numberOfExternalTypeCaller","numberOfExternalTypeCalls","numberOfTypesInPackage","externalTypeNames","packageName","Source Cypher File: External_Dependencies/External_package_usage_per_artifact_and_package.cypher"
"axon-messaging-4.12.1","org.axonframework.serialization.xml","nu.xom",5,15,7,"Document,ParsingException,Builder","xml",""
"axon-modelling-4.12.1","org.axonframework.modelling.saga.repository.legacyjpa","javax.persistence",5,55,3,"EntityNotFoundException,TypedQuery,EntityManagerFactory,EntityManager,Query","legacyjpa",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector","io.axoniq.axonserver.connector",5,38,32,"AxonServerConnection,AxonServerConnectionFactory,AxonServerConnectionFactory$Builder","connector",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.axon","io.axoniq.axonserver.connector",5,19,32,"AxonServerConnection,ResultStream","axon",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.util","com.google.protobuf",5,9,31,"MessageLite,ByteString","util",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.actuator.axonserver","org.springframework.boot.actuate.health",5,20,2,"Status,Health$Builder,AbstractHealthIndicator,SimpleStatusAggregator","axonserver",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.springframework.context",5,23,41,"ApplicationContext,ApplicationContextAware","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.springframework.context.annotation",5,8,41,"ConfigurationCondition$ConfigurationPhase,ConditionContext,Condition","autoconfig",""
"axon-test-4.12.1","org.axonframework.test.server","org.testcontainers.utility",5,23,4,"DockerImageName,MountableFile","server",""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.jpa","org.slf4j",4,9,7,"LoggerFactory,Logger","jpa",""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing.eventstore.legacyjpa","javax.persistence",4,39,10,"EntityManager,TypedQuery,Query,EntityExistsException","legacyjpa",""
"axon-messaging-4.12.1","org.axonframework.commandhandling","org.slf4j",4,8,32,"LoggerFactory,Logger","commandhandling",""
"axon-messaging-4.12.1","org.axonframework.commandhandling.callbacks","org.slf4j",4,9,4,"LoggerFactory,Logger","callbacks",""
"axon-messaging-4.12.1","org.axonframework.commandhandling.gateway","org.slf4j",4,11,34,"Logger,LoggerFactory","gateway",""
"axon-messaging-4.12.1","org.axonframework.common.jpa","jakarta.persistence",4,10,4,"TypedQuery,EntityManager","jpa",""
"axon-messaging-4.12.1","org.axonframework.common.legacyjpa","javax.persistence",4,10,4,"TypedQuery,EntityManager","legacyjpa",""
"axon-messaging-4.12.1","org.axonframework.deadline.dbscheduler","com.github.kagkarlsson.scheduler",4,35,7,"Scheduler,ScheduledExecution,SchedulerState","dbscheduler",""
"axon-messaging-4.12.1","org.axonframework.deadline.quartz","org.slf4j",4,12,4,"Logger,LoggerFactory","quartz",""
"axon-messaging-4.12.1","org.axonframework.eventhandling","com.fasterxml.jackson.annotation",4,13,100,"JsonTypeInfo$Id,JsonTypeInfo$As","eventhandling",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.deadletter.legacyjpa","javax.persistence",4,48,6,"NoResultException,EntityManager,Query,TypedQuery","legacyjpa",""
"axon-messaging-4.12.1","org.axonframework.eventhandling.scheduling.quartz","org.slf4j",4,9,6,"LoggerFactory,Logger","quartz",""
"axon-messaging-4.12.1","org.axonframework.messaging.timeout","org.slf4j",4,15,8,"LoggerFactory,Logger","timeout",""
"axon-messaging-4.12.1","org.axonframework.messaging.unitofwork","org.slf4j",4,16,14,"Logger,LoggerFactory","unitofwork",""
"axon-messaging-4.12.1","org.axonframework.serialization.avro","org.apache.avro.specific",4,16,11,"SpecificData,SpecificRecordBase","avro",""
"axon-messaging-4.12.1","org.axonframework.serialization.json","com.fasterxml.jackson.core",4,7,7,"JsonProcessingException,JacksonException,JsonParser","json",""
"axon-messaging-4.12.1","org.axonframework.serialization.xml","com.thoughtworks.xstream.io.xml",4,13,7,"CompactWriter,XppDriver,Dom4JReader,XomReader","xml",""
"axon-messaging-4.12.1","org.axonframework.tracing","org.slf4j",4,9,19,"Logger,LoggerFactory","tracing",""
"axon-messaging-4.12.1","org.axonframework.updates.detection","org.slf4j",4,11,4,"Logger,LoggerFactory","detection",""
"axon-modelling-4.12.1","org.axonframework.modelling.command","org.slf4j",4,12,56,"LoggerFactory,Logger","command",""
"axon-modelling-4.12.1","org.axonframework.modelling.saga","org.slf4j",4,8,33,"LoggerFactory,Logger","saga",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector","io.grpc",4,11,32,"ManagedChannelBuilder,Channel,ClientInterceptor","connector",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.command","org.slf4j",4,8,11,"Logger,LoggerFactory","command",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.event.util","io.axoniq.axonserver.grpc.event",4,26,3,"Event$Builder,EventWithToken$Builder,Event,EventWithToken","util",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query","org.reactivestreams",4,15,21,"Subscription,Publisher","query",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query","io.axoniq.axonserver.connector.query",4,16,21,"QueryHandler,QueryHandler$UpdateHandler,QueryDefinition,QueryChannel","query",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.query.subscription","org.slf4j",4,10,6,"LoggerFactory,Logger","subscription",""
"axon-server-connector-4.12.1","org.axonframework.axonserver.connector.util","io.grpc.stub",4,20,31,"StreamObserver,ClientCallStreamObserver,ClientResponseObserver","util",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.autoconfig","org.apache.avro.message",4,10,41,"SchemaStore,SchemaStore$Cache","autoconfig",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.service.connection","org.springframework.boot.testcontainers.service.connection",4,9,5,"ContainerConnectionSource,ContainerConnectionDetailsFactory$ContainerConnectionDetails,ContainerConnectionDetailsFactory","connection",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.util","org.springframework.boot.autoconfigure.condition",4,12,9,"ConditionOutcome,SpringBootCondition","util",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.util","org.springframework.context.annotation",4,7,9,"ConfigurationCondition,ConditionContext,ConfigurationCondition$ConfigurationPhase,ImportBeanDefinitionRegistrar","util",""
"axon-spring-boot-autoconfigure-4.12.1","org.axonframework.springboot.util","org.slf4j",4,7,9,"LoggerFactory,Logger","util",""
"axon-test-4.12.1","org.axonframework.test.deadline","org.hamcrest",4,39,4,"Description,Matchers,Matcher,StringDescription","deadline",""
"axon-test-4.12.1","org.axonframework.test.server","org.testcontainers.containers",4,15,4,"GenericContainer,ContainerLaunchException","server",""
"axon-test-4.12.1","org.axonframework.test.server","org.testcontainers.containers.wait.strategy",4,5,4,"Wait,HttpWaitStrategy","server",""
"axon-test-4.12.1","org.axonframework.test.server","com.google.gson",4,7,4,"JsonObject,JsonElement,JsonArray,JsonParser","server",""
"axon-eventsourcing-4.12.1","org.axonframework.eventsourcing","org.slf4j",3,7,42,"Logger,LoggerFactory","eventsourcing",""
"axon-messaging-4.12.1","org.axonframework.common.caching","javax.cache.configuration",3,9,15,"CacheEntryListenerConfiguration,Factory","caching",""
"axon-messaging-4.12.1","org.axonframework.common.caching","net.sf.ehcache.event",3,7,15,"CacheEventListener,RegisteredEventListeners","caching",""
"axon-messaging-4.12.1","org.axonframework.deadline","org.slf4j",3,7,13,"Logger,LoggerFactory","deadline",""
