"similarity","sourceArtifactName","sourceNodeName","sourceNodeIncomingDependencies","sourceNodeOutgoingDependencies","targetArtifactName","targetNodeName","targetNodeIncomingDependencies","targetNodeOutgoingDependencies","Source Cypher File: Similarity/Similarity_1d_Stream_Mutated.cypher"
0.42084942084942084,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.eventstore.jpa",20,1263,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.event",18,1282,""
0.41935483870967744,"axon-test-5.0.2","org.axonframework.test.util",23,164,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,""
0.4166666666666667,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command",8,128,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.interception",5,436,""
0.4166666666666667,"axon-messaging-5.0.2","org.axonframework.messaging.core.timeout",15,182,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,""
0.41379310344827586,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory",3,31,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa",6,85,""
0.41379310344827586,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa",6,85,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory",3,31,""
0.41379310344827586,"axon-modelling-5.0.2","org.axonframework.modelling.repository",81,107,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,""
0.4117647058823529,"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming",293,105,"axon-messaging-5.0.2","org.axonframework.messaging.core.retry",23,179,""
0.410958904109589,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation",5,407,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed",38,513,""
0.410958904109589,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.distributed",38,513,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation",5,407,""
0.41044776119402987,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query",20,226,"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork",11526,108,""
0.41044776119402987,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection",8,198,"axon-modelling-5.0.2","org.axonframework.modelling.entity.annotation",47,858,""
0.41044776119402987,"axon-modelling-5.0.2","org.axonframework.modelling.entity.annotation",47,858,"axon-eventsourcing-5.0.2","org.axonframework.eventsourcing.annotation.reflection",8,198,""
0.4090909090909091,"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.interception",5,500,"axon-modelling-5.0.2","org.axonframework.modelling.repository",81,107,""
0.4090909090909091,"axon-modelling-5.0.2","org.axonframework.modelling.repository",81,107,"axon-messaging-5.0.2","org.axonframework.messaging.monitoring.interception",5,500,""
0.40625,"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming",293,105,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception",8,491,""
0.40625,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.interception",8,491,"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming",293,105,""
0.40350877192982454,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation",5,407,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway",3,205,""
0.40350877192982454,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.gateway",3,205,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation",5,407,""
0.4,"axon-common-5.0.2","org.axonframework.common.jdbc",23,19,"axon-common-5.0.2","org.axonframework.common.property",19,15,""
0.4,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing",7,156,"axon-tracing-opentelemetry-5.0.2","org.axonframework.extension.tracing.opentelemetry",5,37,""
0.4,"axon-messaging-5.0.2","org.axonframework.messaging.queryhandling.annotation",5,407,"axon-messaging-5.0.2","org.axonframework.messaging.core.interception.annotation",21,234,""
0.4,"axon-modelling-5.0.2","org.axonframework.modelling.entity",115,800,"axon-messaging-5.0.2","org.axonframework.messaging.core.unitofwork",11526,108,""
0.39568345323741005,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command",8,128,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query",20,226,""
0.39568345323741005,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.query",20,226,"axon-server-connector-5.0.2","org.axonframework.axonserver.connector.command",8,128,""
0.39473684210526316,"axon-messaging-5.0.2","org.axonframework.messaging.eventstreaming",293,105,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.replay",5,29,""
0.3939393939393939,"axon-messaging-5.0.2","org.axonframework.messaging.commandhandling.tracing",7,156,"axon-test-5.0.2","org.axonframework.test.util",23,164,""
0.39285714285714285,"axon-messaging-5.0.2","org.axonframework.messaging.core.timeout",15,182,"axon-messaging-5.0.2","org.axonframework.messaging.eventhandling.gateway",9,102,""
