"name","shortName","louvainId","louvainIntermediateIds","leidenId","leidenIntermediateIds","leidenModularity","weaklyConnectedComponentId","labelPropagationId","kCoreDecompositionValue","maximumKCutId","incomingDependencies","outgoingDependencies","Source Cypher File: Community_Detection/Community_Detection_Summary.cypher"
"org.axonframework.eventhandling.tokenstore.jpa","jpa",5,"63,62",6,"63,11,8",,0,0,7,10,11,119,""
"org.axonframework.eventhandling.scheduling.quartz","quartz",6,"78,78",7,"79,19,0",,0,0,8,15,10,202,""
"org.axonframework.eventhandling.tokenstore","tokenstore",5,"62,62",6,"62,11,8",,0,0,9,0,83,42,""
"org.axonframework.eventhandling.tokenstore.legacyjpa","legacyjpa",5,"63,62",6,"63,11,8",,0,0,7,1,4,106,""
"org.axonframework.lifecycle","lifecycle",0,"65,41",0,"75,3,9",,0,0,10,9,101,10,""
"org.axonframework.messaging","messaging",0,"65,41",1,"75,3,9",,0,0,11,10,10051,133,""
"org.axonframework.messaging.annotation","annotation",1,"12,88",2,"13,1,1",,0,0,11,18,1111,299,""
"org.axonframework.messaging.correlation","correlation",0,"65,41",1,"75,3,9",,0,0,5,0,32,14,""
"org.axonframework.messaging.deadletter","deadletter",5,"49,62",6,"49,9,8",,0,0,8,0,206,105,""
"org.axonframework.messaging.interceptors","interceptors",0,"65,41",1,"75,3,9",,0,0,10,1,12,119,""
"org.axonframework.messaging.interceptors.legacyvalidation","legacyvalidation",1,"12,88",1,"75,3,9",,0,0,3,3,1,27,""
"org.axonframework.messaging.responsetypes","responsetypes",0,"65,41",1,"75,3,9",,0,0,9,1,107,65,""
"org.axonframework.messaging.timeout","timeout",7,"102,102",0,"102,0,4",,0,0,9,0,14,67,""
"org.axonframework.messaging.unitofwork","unitofwork",1,"88,88",1,"107,1,1",,0,0,11,2,260,123,""
"org.axonframework.monitoring","monitoring",4,"44,44",5,"44,2,2",,0,0,10,14,199,21,""
"org.axonframework.queryhandling","queryhandling",0,"65,41",1,"75,3,9",,0,0,10,6,436,1141,""
"org.axonframework.queryhandling.annotation","annotation",1,"12,88",2,"13,1,1",,0,0,6,13,4,199,""
"org.axonframework.queryhandling.registration","registration",0,"65,41",1,"75,3,9",,0,0,4,5,9,13,""
"org.axonframework.serialization","serialization",6,"78,78",7,"79,19,0",,0,0,11,11,1771,176,""
"org.axonframework.serialization.avro","avro",6,"78,78",7,"79,19,0",,0,0,3,12,26,136,""
"org.axonframework.serialization.converters","converters",6,"78,78",7,"79,19,0",,0,0,1,2,0,7,""
"org.axonframework.serialization.upcasting","upcasting",6,"78,78",7,"79,19,0",,0,0,1,4,11,5,""
"org.axonframework.serialization.upcasting.event","event",6,"78,78",7,"79,19,0",,0,0,10,1,45,188,""
"org.axonframework.serialization.xml","xml",6,"78,78",7,"79,19,0",,0,0,8,2,22,28,""
"org.axonframework.tracing","tracing",0,"65,41",1,"75,3,9",,0,0,11,11,635,122,""
"org.axonframework.serialization.json","json",6,"78,78",7,"79,19,0",,0,0,4,16,9,87,""
"org.axonframework.tracing.attributes","attributes",7,"102,102",0,"102,0,4",,0,0,6,1,6,43,""
"org.axonframework.util","util",4,"44,44",5,"44,2,2",,0,0,9,0,5,6,""
"org.axonframework.eventsourcing","eventsourcing",1,"88,88",2,"107,1,1",,0,0,11,3,148,1009,""
"org.axonframework.eventsourcing.conflictresolution","conflictresolution",1,"88,88",2,"107,1,1",,0,0,9,0,15,99,""
"org.axonframework.eventsourcing.eventstore","eventstore",4,"44,44",5,"44,2,2",,0,0,11,6,205,613,""
"org.axonframework.eventsourcing.eventstore.inmemory","inmemory",4,"44,44",5,"44,2,2",,0,0,3,10,1,75,""
"org.axonframework.eventsourcing.eventstore.jdbc","jdbc",4,"92,44",5,"93,2,2",,0,0,9,0,235,1340,""
"org.axonframework.eventsourcing.eventstore.jdbc.statements","statements",4,"92,44",5,"93,2,2",,0,0,5,15,30,80,""
"org.axonframework.eventsourcing.eventstore.jpa","jpa",4,"44,44",5,"44,2,2",,0,0,10,14,12,236,""
"org.axonframework.eventsourcing.eventstore.legacyjpa","legacyjpa",4,"44,44",5,"44,2,2",,0,0,10,13,26,389,""
"org.axonframework.eventsourcing.snapshotting","snapshotting",4,"44,44",5,"44,2,2",,0,0,9,1,29,17,""
