"name","shortName","pageRank","articleRank","betweenness","costEffectiveLazyForward","harmonicCloseness","closeness","hyperlinkInducedTopicSearchAuthority","hyperlinkInducedTopicSearchHub","incomingDependencies","outgoingDependencies","Source Cypher File: domains/graph-algorithms/queries/centrality/Centrality_90_Summary.cypher"
"org.axonframework.messaging.eventhandling.processing.streaming.token.annotation","annotation",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.06123004285525388,1,30,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store","store",0.2640991618169623,0.25471207721855094,1.5,0,0.06300813008130081,0.04878048780487805,0.033318888917789106,0.05544691011985457,27,10,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.inmemory","inmemory",0.15063158926807463,0.15061657161461714,0,0,0.03008130081300813,0.024390243902439022,0.009954852839282772,0.05735366802935961,3,31,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jdbc","jdbc",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.09276788527006753,13,160,""
"org.axonframework.messaging.eventhandling.processing.streaming.token.store.jpa","jpa",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.0917000409643044,4,99,""
"org.axonframework.messaging.eventhandling.processing.streaming.pooled","pooled",0.1738728828529584,0.17201124198742732,45,0,0.03590785907859079,0.02890695573622403,0.01085895036566401,0.173952148981042,65,2877,""
"org.axonframework.messaging.eventhandling.processing.streaming.segmenting","segmenting",0.48638255421005266,0.40056581290763443,62.08333333333333,0,0.10365853658536585,0.0823170731707317,0.05361780663487726,0.13501460650411282,117,234,""
"org.axonframework.messaging.eventhandling.processing.subscribing","subscribing",0.16969937071158647,0.16833921472811048,37,0,0.03794037940379404,0.032520325203252036,0.018764481320189617,0.14782309388931025,15,913,""
"org.axonframework.messaging.eventhandling.processing.errorhandling","errorhandling",0.1616663064465196,0.16092266347736617,1.25,0,0.04607046070460705,0.03873744619799139,0.02765370343492631,0.0426108439157504,13,8,""
"org.axonframework.messaging.eventhandling.tracing","tracing",0.15000000000000002,0.15000000000000002,0,0,0,0,0,0.08727192809815347,6,135,""
"org.axonframework.messaging.eventhandling.configuration","configuration",0.20815279671597614,0.20485491321748242,104.5,0,0.04742547425474254,0.04002501563477174,0.03577247721915517,0.16144848905740525,84,547,""
"org.axonframework.messaging.eventstreaming","eventstreaming",0.31703032945239407,0.2721446113993483,66.46666666666667,0,0.13617886178861788,0.10991869918699188,0.07118117568315858,0.09235728497849259,316,105,""
