"artifactName","fullQualifiedPackageName","packageName","outgoingDependencies","outgoingDependenciesWeight","outgoingDependentTypes","outgoingDependentInterfaces","outgoingDependentPackages","outgoingDependentArtifacts","Source Cypher File: domains/internal-dependencies/queries/object-oriented-design-metrics/Get_Outgoing_Java_Package_Dependencies.cypher"
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver","axonserver",0,0,0,0,0,-1,""
"axon-server-connector-5.1.1","io.axoniq.framework.axonserver.connector","connector",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.actuator","actuator",0,0,0,0,0,-1,""
"axoniq-spring-boot-autoconfigure-5.1.1","io.axoniq.framework.springboot.service","service",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-update-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-common-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-test-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-conversion-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-modelling-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-messaging-5.1.1","org","org",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-update-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-common-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-test-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-conversion-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-modelling-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-messaging-5.1.1","org.axonframework","axonframework",0,0,0,0,0,-1,""
"axon-common-5.1.1","org.axonframework.common.function","function",0,0,0,0,0,-1,""
"axon-common-5.1.1","org.axonframework.common.io","io",0,0,0,0,0,-1,""
"axon-eventsourcing-5.1.1","org.axonframework.eventsourcing.snapshot","snapshot",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension","extension",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics","metrics",0,0,0,0,0,-1,""
"axon-metrics-micrometer-5.1.1","org.axonframework.extension.metrics.micrometer.reservoir","reservoir",0,0,0,0,0,-1,""
"axon-tracing-opentelemetry-5.1.1","org.axonframework.extension.tracing","tracing",0,0,0,0,0,-1,""
"axon-messaging-5.1.1","org.axonframework.messaging","messaging",0,0,0,0,0,-1,""
