"sourceProject","sourceScan","sourceRootProject","isDifferentTargetProject","isDifferentTargetScan","isDifferentTargetRootProject","distance","distanceTotalPairCount","distanceTotalSourceCount","distanceTotalTargetCount","pairCount","sourceNodeCount","targetNodeCount","examples","exampleProjects","exampleScans","Source Cypher File: domains/internal-dependencies/queries/path-finding/Path_Finding_5_All_pairs_shortest_path_distribution_per_project.cypher"
"axon-eventsourcing-5.1.2",,,false,,,4,597,94,49,7,5,3,"/org/axonframework/eventsourcing/snapshot/inmemory -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/eventsourcing,/org/axonframework/eventsourcing/snapshot/inmemory -> /org/axonframework/eventsourcing/annotation/reflection,/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/eventsourcing/annotation/reflection","axon-eventsourcing-5.1.2 -> axon-eventsourcing-5.1.2","",""
"axon-eventsourcing-5.1.2",,,false,,,5,90,35,22,2,2,1,"/org/axonframework/eventsourcing/snapshot/inmemory -> /org/axonframework/eventsourcing/handler,/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/eventsourcing/handler","axon-eventsourcing-5.1.2 -> axon-eventsourcing-5.1.2","",""
"axon-eventsourcing-5.1.2",,,true,,,1,777,118,98,88,11,31,"/org/axonframework/eventsourcing -> /org/axonframework/modelling,/org/axonframework/eventsourcing/handler -> /org/axonframework/modelling,/org/axonframework/eventsourcing/configuration -> /org/axonframework/modelling,/org/axonframework/eventsourcing/annotation -> /org/axonframework/modelling/annotation","axon-eventsourcing-5.1.2 -> axon-modelling-5.1.2,axon-eventsourcing-5.1.2 -> axon-common-5.1.2,axon-eventsourcing-5.1.2 -> axon-conversion-5.1.2,axon-eventsourcing-5.1.2 -> axon-messaging-5.1.2","",""
"axon-eventsourcing-5.1.2",,,true,,,2,990,108,80,144,11,47,"/org/axonframework/eventsourcing/annotation -> /org/axonframework/modelling,/org/axonframework/eventsourcing/annotation/reflection -> /org/axonframework/modelling,/org/axonframework/eventsourcing/eventstore -> /org/axonframework/modelling,/org/axonframework/eventsourcing -> /org/axonframework/modelling/annotation","axon-eventsourcing-5.1.2 -> axon-modelling-5.1.2,axon-eventsourcing-5.1.2 -> axon-common-5.1.2,axon-eventsourcing-5.1.2 -> axon-conversion-5.1.2,axon-eventsourcing-5.1.2 -> axon-messaging-5.1.2","",""
"axon-eventsourcing-5.1.2",,,true,,,3,976,100,65,127,11,35,"/org/axonframework/eventsourcing/snapshot/api -> /org/axonframework/modelling,/org/axonframework/eventsourcing/eventstore/inmemory -> /org/axonframework/modelling,/org/axonframework/eventsourcing/eventstore/jpa -> /org/axonframework/modelling,/org/axonframework/eventsourcing/snapshot/api -> /org/axonframework/modelling/annotation","axon-eventsourcing-5.1.2 -> axon-modelling-5.1.2,axon-eventsourcing-5.1.2 -> axon-common-5.1.2,axon-eventsourcing-5.1.2 -> axon-messaging-5.1.2","",""
"axon-eventsourcing-5.1.2",,,true,,,4,597,94,49,67,11,21,"/org/axonframework/eventsourcing/snapshot/inmemory -> /org/axonframework/modelling,/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/modelling,/org/axonframework/eventsourcing/snapshot/inmemory -> /org/axonframework/modelling/annotation,/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/modelling/annotation","axon-eventsourcing-5.1.2 -> axon-modelling-5.1.2,axon-eventsourcing-5.1.2 -> axon-common-5.1.2,axon-eventsourcing-5.1.2 -> axon-messaging-5.1.2","",""
"axon-eventsourcing-5.1.2",,,true,,,5,90,35,22,6,3,4,"/org/axonframework/eventsourcing/snapshot/api -> /org/axonframework/common/io,/org/axonframework/eventsourcing/snapshot/inmemory -> /org/axonframework/common/function,/org/axonframework/eventsourcing/snapshot/store -> /org/axonframework/common/function,/org/axonframework/eventsourcing/snapshot/api -> /org/axonframework/common/function","axon-eventsourcing-5.1.2 -> axon-common-5.1.2,axon-eventsourcing-5.1.2 -> axon-messaging-5.1.2","",""
"axon-messaging-5.1.2",,,false,,,1,777,118,98,267,57,43,"/org/axonframework/messaging/monitoring/configuration -> /org/axonframework/messaging/monitoring,/org/axonframework/messaging/eventhandling/processing/streaming/pooled -> /org/axonframework/messaging/monitoring,/org/axonframework/messaging/eventhandling/processing/subscribing -> /org/axonframework/messaging/monitoring,/org/axonframework/messaging/eventhandling/configuration -> /org/axonframework/messaging/monitoring","axon-messaging-5.1.2 -> axon-messaging-5.1.2","",""
"axon-messaging-5.1.2",,,false,,,2,990,108,80,302,57,39,"/org/axonframework/messaging/eventhandling/configuration -> /org/axonframework/messaging/monitoring/interception,/org/axonframework/messaging/eventhandling/processing/streaming/pooled -> /org/axonframework/messaging/monitoring/configuration,/org/axonframework/messaging/eventhandling/processing/subscribing -> /org/axonframework/messaging/monitoring/configuration,/org/axonframework/messaging/eventhandling -> /org/axonframework/messaging/commandhandling","axon-messaging-5.1.2 -> axon-messaging-5.1.2","",""
"axon-messaging-5.1.2",,,false,,,3,976,100,65,362,56,30,"/org/axonframework/messaging/eventhandling/processing/streaming/pooled -> /org/axonframework/messaging/monitoring/interception,/org/axonframework/messaging/eventhandling/processing/subscribing -> /org/axonframework/messaging/monitoring/interception,/org/axonframework/messaging/eventhandling/replay -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/messaging/commandhandling","axon-messaging-5.1.2 -> axon-messaging-5.1.2","",""
"axon-messaging-5.1.2",,,false,,,4,597,94,49,206,47,14,"/org/axonframework/messaging/eventhandling/processing/streaming/token -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/queryhandling/interception -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/queryhandling/gateway -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/queryhandling/tracing -> /org/axonframework/messaging/commandhandling","axon-messaging-5.1.2 -> axon-messaging-5.1.2","",""
"axon-messaging-5.1.2",,,false,,,5,90,35,22,32,7,8,"/org/axonframework/messaging/core/unitofwork/transaction -> /org/axonframework/messaging/commandhandling,/org/axonframework/messaging/eventhandling/conversion -> /org/axonframework/messaging/commandhandling/gateway,/org/axonframework/messaging/eventhandling/processing/streaming -> /org/axonframework/messaging/commandhandling/gateway,/org/axonframework/messaging/eventhandling/processing/streaming/token/store -> /org/axonframework/messaging/commandhandling/gateway","axon-messaging-5.1.2 -> axon-messaging-5.1.2","",""
"axon-messaging-5.1.2",,,true,,,1,777,118,98,140,52,12,"/org/axonframework/messaging/monitoring/configuration -> /org/axonframework/common,/org/axonframework/messaging/commandhandling -> /org/axonframework/common,/org/axonframework/messaging/commandhandling/annotation -> /org/axonframework/common,/org/axonframework/messaging/commandhandling/interception -> /org/axonframework/common","axon-messaging-5.1.2 -> axon-common-5.1.2,axon-messaging-5.1.2 -> axon-conversion-5.1.2","",""
"axon-messaging-5.1.2",,,true,,,2,990,108,80,192,57,12,"/org/axonframework/messaging/commandhandling/gateway -> /org/axonframework/common,/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/common,/org/axonframework/messaging/eventhandling/interception -> /org/axonframework/common,/org/axonframework/messaging/eventhandling/conversion -> /org/axonframework/common","axon-messaging-5.1.2 -> axon-common-5.1.2,axon-messaging-5.1.2 -> axon-conversion-5.1.2","",""
"axon-messaging-5.1.2",,,true,,,3,976,100,65,174,57,10,"/org/axonframework/messaging/commandhandling/annotation -> /org/axonframework/common/io,/org/axonframework/messaging/commandhandling/configuration -> /org/axonframework/common/io,/org/axonframework/messaging/eventhandling/annotation -> /org/axonframework/common/io,/org/axonframework/messaging/eventhandling/replay/annotation -> /org/axonframework/common/io","axon-messaging-5.1.2 -> axon-common-5.1.2,axon-messaging-5.1.2 -> axon-conversion-5.1.2","",""
"axon-messaging-5.1.2",,,true,,,4,597,94,49,106,56,6,"/org/axonframework/messaging/monitoring/configuration -> /org/axonframework/common/io,/org/axonframework/messaging/commandhandling -> /org/axonframework/common/io,/org/axonframework/messaging/commandhandling/interception -> /org/axonframework/common/io,/org/axonframework/messaging/commandhandling/gateway -> /org/axonframework/common/io","axon-messaging-5.1.2 -> axon-common-5.1.2","",""
"axon-messaging-5.1.2",,,true,,,5,90,35,22,22,19,3,"/org/axonframework/messaging/eventhandling/conversion -> /org/axonframework/common/io,/org/axonframework/messaging/eventhandling/processing/streaming -> /org/axonframework/common/io,/org/axonframework/messaging/eventhandling/processing/streaming/token/store -> /org/axonframework/common/io,/org/axonframework/messaging/eventhandling/processing/streaming/token/store/inmemory -> /org/axonframework/common/io","axon-messaging-5.1.2 -> axon-common-5.1.2","",""
"axon-metrics-micrometer-5.1.2",,,false,,,1,777,118,98,2,2,2,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer,/org/axonframework/extension/metrics/micrometer -> /org/axonframework/extension/metrics/micrometer/reservoir","axon-metrics-micrometer-5.1.2 -> axon-metrics-micrometer-5.1.2","",""
"axon-metrics-micrometer-5.1.2",,,false,,,2,990,108,80,1,1,1,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/extension/metrics/micrometer/reservoir","axon-metrics-micrometer-5.1.2 -> axon-metrics-micrometer-5.1.2","",""
"axon-metrics-micrometer-5.1.2",,,true,,,1,777,118,98,10,2,9,"/org/axonframework/extension/metrics/micrometer -> /org/axonframework/common,/org/axonframework/extension/metrics/micrometer -> /org/axonframework/common/configuration,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common/configuration,/org/axonframework/extension/metrics/micrometer -> /org/axonframework/messaging/monitoring","axon-metrics-micrometer-5.1.2 -> axon-common-5.1.2,axon-metrics-micrometer-5.1.2 -> axon-messaging-5.1.2","",""
"axon-metrics-micrometer-5.1.2",,,true,,,2,990,108,80,22,2,19,"/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common,/org/axonframework/extension/metrics/micrometer -> /org/axonframework/common/annotation,/org/axonframework/extension/metrics/micrometer/springboot -> /org/axonframework/common/annotation,/org/axonframework/extension/metrics/micrometer -> /org/axonframework/common/infra","axon-metrics-micrometer-5.1.2 -> axon-common-5.1.2,axon-metrics-micrometer-5.1.2 -> axon-conversion-5.1.2,axon-metrics-micrometer-5.1.2 -> axon-messaging-5.1.2","",""
