"sourceLabels","relationshipType","targetLabels","relationshipCount","Source Cypher File: domains/overview/queries/overview/Node_labels_and_their_relationships.cypher"
"TS,Local,Module","DECLARES","TS,Variable",19,""
"TS,Local,Module","EXPORTS","TS,Variable",19,""
"TS,Local,Module","DEPENDS_ON","TS,Variable",19,""
"Value,Object,TS","OF_TYPE","Object,TS",18,""
"TS,Local,Module","DECLARES","TS,Function,Interface,TypeAlias",18,""
"TS,Class","DEPENDS_ON","TS,ExternalModule",18,""
"TS,Local,Module","EXPORTS","TS,Function",18,""
"TS,Method,Local,Module","DEPENDS_ON","TS,Interface",18,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",18,""
"TS,AccessorProperty","DESCRIBED_BY_GETTER","TS,Getter",17,""
"TS,Local,Module","DECLARES","TS,Function,TypeAlias",17,""
"Value,TS,Member","OF_TYPE","TS,NotIdentified",17,""
"TS,Function","DEPENDS_ON","TS,Local,Module",17,""
"TS,Local,Module","DEPENDS_ON","TS,Variable,ExternalModule,Function,ExternalDeclaration,TypeAlias",17,""
"TS,TypeAlias","DEPENDS_ON","TS,Variable",16,""
"TS,Union","CONTAINS","TS,Tuple",16,""
"TS,Local,Module","DECLARES","TS,Function,TypeAlias,Variable",16,""
"TS,Variable,Interface","DEPENDS_ON","TS,Local,Module",16,""
"TS,Local,Module,Interface","DEPENDS_ON","TS,ExternalModule",16,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",16,""
"NPM,Dependency","IS_DESCRIBED_IN_NPM_PACKAGE","Package,Json,NPM,NpmDevPackage",16,""
"Package,Json,NPM","DEPENDS_ON","Package,Json,NPM,NpmDevPackage",16,""
"Package,Json,NPM,NpmNonDevPackage","DECLARES_SCRIPT","NPM,Script",15,""
"TS,Property","OF_TYPE","TS,Function",15,""
"TS,TypeAlias","DEPENDS_ON","TS,Local,Module",15,""
"TS,Function","DEPENDS_ON","TS,Local,Module",15,""
"TS,Tuple","CONTAINS","TS,Union",15,""
"TS,Local,Module","DECLARES","TS,Function",15,""
"TS,Local,Module","DEPENDS_ON","TS,TypeAlias,Function,ExternalDeclaration",15,""
"TS,Local,Module","EXPORTS","TS,TypeAlias",15,""
"TS,Local,Module","CHANGED_TOGETHER_WITH","Package,Json,NPM,NpmNonDevPackage",15,""
"TS,Property","OF_TYPE","TS,TypeParameterReference",14,""
"TS,Variable","OF_TYPE","Object,TS,Primitive",14,""
"TS,Function","DECLARES","TS,TypeParameter",14,""
"TS,Local,Module","DECLARES","TS,Function",14,""
"TS,Function","DEPENDS_ON","TS,Local,Module",14,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalModule,ExternalDeclaration,Function",14,""
"Package,Json,NPM","CHANGED_TOGETHER_WITH","TS,Local,Module",14,""
"TS,Constructor","HAS","TS,Parameter",13,""
"TS,Property","OF_TYPE","TS,Literal",13,""
"TS,Variable","OF_TYPE","TS,Tuple",13,""
"Value,TS,ObjectMember","OF_TYPE","TS,Declared",13,""
"TS,Variable","INITIALIZED_WITH","Value,Object,TS",13,""
"Value,TS,Call","HAS_ARGUMENT","Value,TS,Call",13,""
"TS,Local,Module","DECLARES","TS,Variable,Function",13,""
"TS,Constructor,Local,Module","DEPENDS_ON","TS,ExternalDeclaration",13,""
"TS,TypeAlias","DEPENDS_ON","TS,Local,Module",13,""
"TS,Method,Local,Module","DEPENDS_ON","TS,ExternalModule",13,""
"TS,Local,Module","EXPORTS","TS,ExternalDeclaration",13,""
"TS,Class","DECLARES","TS,Constructor",12,""
"TS,Method,Local,Module","DEPENDS_ON","TS,Property",12,""
"TS,Local,Module","DECLARES","TS,Variable",12,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalModule,ExternalDeclaration",12,""
"TS,Local,Module","EXPORTS","TS,Variable,TypeAlias",12,""
"Package,Json,NPM,NpmNonDevPackage","HAS_EXPORT","NPM,Export",11,""
"Project,TS","HAS_ROOT","Directory,Local",11,""
"Project,TS","HAS_CONFIG","Local",11,""
"Directory,Local","CONTAINS","Local",11,""
"TS,Scan","CONTAINS_PROJECT","Project,TS",11,""
"TS,Local,Module","DECLARES","TS,Function,Variable",11,""
"TS,Function","DEPENDS_ON","TS,AccessorProperty,Local,Module",11,""
"TS,Local,Module","DEPENDS_ON","TS,ExternalModule,Interface,Variable,Function,ExternalDeclaration",11,""
"TS,Local,Module","EXPORTS","TS,Function,Variable,TypeAlias",11,""
"Git","RESOLVES_TO","Local",11,""
"Package,Json,NPM,NpmNonDevPackage","DEPENDS_ON","Package,Json,NPM,NpmNonDevPackage",11,""
"TS,Class","DECLARES","TS,AccessorProperty",10,""
"Value,TS,ObjectMember","OF_TYPE","TS,NotIdentified",10,""
"TS,Method,Local,Module,Class","DEPENDS_ON","TS,Function",10,""
"Value,TS,Call","OF_TYPE","Object,TS",10,""
"TS,Local,Module","DECLARES","TS,TypeAlias,Variable,Function",10,""
"TS,Local,Module","DEPENDS_ON","TS,TypeAlias,ExternalModule,Property,ExternalDeclaration,Interface",10,""
"TS,Function","DEPENDS_ON","TS,Local,Module",10,""
"TS,Local,Module","EXPORTS","TS,Function,Interface",10,""
"Value,TS,Declared","OF_TYPE","TS,Primitive",9,""
"TS,Class","DEPENDS_ON","TS,Interface",9,""
"TS,Method","DEPENDS_ON","TS,Variable",9,""
"TS,Local,Module","DECLARES","TS,Function,Interface,TypeAlias",9,""
